stock_code,end_time,open,high,low,close,previous_close,change,amount,volume
hk00941,6/10/2013,78.5,79,78.5,78.6,78.65,-0.000636,11467641,902554792
hk00941,6/7/2013,79.05,79.4,78.6,78.65,79.3,-0.008197,14929485,1178233037
hk00941,6/6/2013,79.1,79.7,79.1,79.3,80.3,-0.012453,13352275,1060258645
hk00941,6/5/2013,80.3,80.45,79.8,80.3,80.55,-0.003104,10695866,857112339
hk00941,6/4/2013,81.6,81.6,80.2,80.55,82.4,-0.022451,15218613,1229736386
hk00941,6/3/2013,82.25,82.95,82.25,82.4,82.45,-0.000606,20241907,1669131704
hk00941,5/31/2013,83.7,83.7,82.2,82.45,82.7,-0.003023,20664933,1706477552
hk00941,5/30/2013,82.5,83.15,82.3,82.7,82.65,0.000605,15902203,1314976870
hk00941,5/29/2013,83.05,83.2,82.6,82.65,83.6,-0.011364,14294953,1184163687
hk00941,5/28/2013,83.2,83.7,82.9,83.6,83.1,0.006017,9889403,822803904
hk00941,5/27/2013,82.8,83.3,82.3,83.1,82.9,0.002413,9449218,781799527
hk00941,5/24/2013,82.6,83.3,82.3,82.9,83.35,-0.005399,15616446,1294521342
hk00941,5/23/2013,84.4,84.45,82.6,83.35,84.8,-0.017099,26217912,2186813254
hk00941,5/22/2013,85.45,85.8,84.7,84.8,85.45,-0.007607,13278390,1130132708
hk00941,5/21/2013,85.9,86.3,85.2,85.45,86.35,-0.010423,16364693,1402939967
hk00941,5/20/2013,86.5,86.65,86.25,86.35,85.7,0.007585,11288411,975253957
hk00941,5/16/2013,86.5,86.5,85.5,85.7,86.4,-0.008102,12676375,1089964281
hk00941,5/15/2013,85.35,86.45,85.35,86.4,85.95,0.005236,12309579,1060309669
hk00941,5/14/2013,86.4,86.45,85.8,85.95,85.85,0.001165,9493023,816891913
hk00941,5/13/2013,85.85,86,85.5,85.85,86.2,-0.00406,6325178,542627075
hk00941,5/10/2013,86,86.3,85.7,86.2,85.95,0.002909,8781806,755737957
hk00941,5/9/2013,86.15,86.15,85.8,85.95,85.8,0.001748,11313014,972011579
hk00941,5/8/2013,85.75,86.15,85.55,85.8,85.55,0.002922,14315441,1227570870
hk00941,5/7/2013,85.05,85.65,84.75,85.55,85.15,0.004698,9779629,833350000
hk00941,5/6/2013,85.5,85.65,84.85,85.15,84.8,0.004127,9609129,819615072
hk00941,5/3/2013,85,85.15,84.75,84.8,84.7,0.001181,8593688,729876681
hk00941,5/2/2013,85.05,85.05,84.55,84.7,84.95,-0.002943,10546122,894907705
hk00941,4/30/2013,85,85.1,84.5,84.95,84.15,0.009507,15563362,1320962728
hk00941,4/29/2013,83.45,84.25,83.45,84.15,84.1,0.000595,8035614,673967603
hk00941,4/26/2013,84.3,84.9,83.95,84.1,83.95,0.001787,14517748,1224250941
hk00941,4/25/2013,83.05,84.3,82.9,83.95,82.95,0.012055,17292028,1450033826
hk00941,4/24/2013,82.8,83.2,82.3,82.95,81.85,0.013439,10559660,874769074
hk00941,4/23/2013,82.1,82.2,81.4,81.85,82.6,-0.00908,12121778,990505963
hk00941,4/22/2013,82.7,83.25,82.3,82.6,82.15,0.005478,13032043,1078683641
hk00941,4/19/2013,80.7,82.35,80.7,82.15,81.1,0.012947,11439947,933329257
hk00941,4/18/2013,81.9,81.9,80.65,81.1,80.9,0.002472,12700315,1030227737
hk00941,4/17/2013,82,82,80.75,80.9,81.4,-0.006143,14167029,1150862255
hk00941,4/16/2013,81.9,82.05,81.3,81.4,81.95,-0.006711,17096524,1394555933
hk00941,4/15/2013,82.65,82.65,81.75,81.95,82.95,-0.012055,10833637,889252022
hk00941,4/12/2013,83.3,83.3,82.4,82.95,82.95,0,7987448,661735279
hk00941,4/11/2013,83.2,83.4,82.65,82.95,82.9,0.000603,13762084,1142823366
hk00941,4/10/2013,83.3,83.45,82.35,82.9,82.8,0.001208,13092477,1084998300
